Organism Name	Size (Mb)	GC%	Blooming	Proteins	Taxonomy ID	GCA ID	URL										
Cyanobacteria bacterium TMED188	1.353	59.20%	Unknown	1474	1986678	GCA_002172015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/015/GCA_002172015.1_ASM217201v1										
Cyanobacteria bacterium 13_1_20CM_4_61_6	4.139	60.80%	Unknown	1953	1805100	GCA_001919945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/919/945/GCA_001919945.1_ASM191994v1										
Cyanobacteria bacterium 13_1_40CM_2_61_4	8.509	60.70%	Unknown	4209	1805101	GCA_001919235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/919/235/GCA_001919235.1_ASM191923v1										
cyanobacterium TDX16	15.333	55.20%	Unknown	15006	1503470	GCA_002213405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/213/405/GCA_002213405.1_ASM221340v1										
cyanobacterium BACL30 MAG-120619-bin27	1.814	63.60%	Unknown	1670	1655601	GCA_001438415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/438/415/GCA_001438415.1_ASM143841v1										
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	2.794	33.40%	Unknown	1603	1228987	GCA_000829235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/235/GCA_000829235.1_ASM82923v1										
Cyanobacterium stanieri PCC 7202	3.163	38.70%	Unknown	2837	292563	GCA_000317655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/655/GCA_000317655.1_ASM31765v1										
Cyanobium sp. NIES-981	3.022	68.60%	Unknown	2840	1851505	GCA_900088535.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/088/535/GCA_900088535.1_ASM90008853v1										
Cyanobium gracile PCC 6307	3.342	68.70%	Unknown	3191	292564	GCA_000316515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/515/GCA_000316515.1_ASM31651v1										
Cyanothece sp. ATCC 51142	5.460	37.97%	bloomer	4942	43989	GCA_000017845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/845/GCA_000017845.1_ASM1784v1										
Cyanothece sp. PCC 7424	6.554	38.50%	Unknown	5603	65393	GCA_000021825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/825/GCA_000021825.1_ASM2182v1										
Cylindrospermopsis raciborskii CENA302	3.476	40.10%	Unknown	3008	1170768	GCA_002027345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/027/345/GCA_002027345.1_ASM202734v1										
Cylindrospermopsis raciborskii CS-508	3.557	40.20%	Unknown	3010	533243	GCA_001858115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/115/GCA_001858115.1_ASM185811v1										
Cylindrospermopsis raciborskii MVCC14	3.595	40.10%	Unknown	3062	940191	GCA_001858125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/125/GCA_001858125.1_ASM185812v1										
Cylindrospermopsis sp. CR12	3.724	40.10%	Unknown	3102	1747196	GCA_001432185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/432/185/GCA_001432185.1_ASM143218v1										
Cylindrospermopsis raciborskii CS-505	3.879	40.20%	bloomer	3222	533240	GCA_000175835.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/835/GCA_000175835.1_ASM17583v1										
Cylindrospermopsis raciborskii CS-505	4.159	40.30%	bloomer	3497	533240	GCA_001676585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/585/GCA_001676585.1_ASM167658v1										
Cylindrospermum stagnale PCC 7417	7.611	42.20%	Unknown	6158	56107	GCA_000317535.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/535/GCA_000317535.1_ASM31753v1										
Dactylococcopsis salina PCC 8305	3.781	42.40%	nonbloomer	3429	13035	GCA_000317615.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/615/GCA_000317615.1_ASM31761v1										
Desertifilum sp. IPPAS B-1220	6.091	48.70%	Unknown	4976	1781255	GCA_001746915.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/915/GCA_001746915.1_ASM174691v1										
Fischerella sp. JSC-11	5.380	41%	Unknown	4339	741277	GCA_000231365.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/365/GCA_000231365.2_ASM23136v1										
Fischerella major NIES-592	5.640	41%	Unknown	4506	210994	GCA_001904645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/645/GCA_001904645.1_ASM190464v1										
Fischerella sp. NIES-3754	5.827	40.99%	Unknown	4584	1752063	GCA_001548455.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/455/GCA_001548455.1_ASM154845v1										
Geitlerinema sp. PCC 7407	4.681	58.50%	Unknown	3789	1173025	GCA_000317045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/045/GCA_000317045.1_ASM31704v1										
Geminocystis sp. NIES-3708	4.042	32.30%	Unknown	3376	1615909	GCA_001548095.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/095/GCA_001548095.1_Gm3709_assembly_1.0										
Geminocystis sp. NIES-3709	4.426	33.32%	Unknown	3587	1617448	GCA_001548115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/115/GCA_001548115.1_Gm3709_assembly_1.0										
Gloeobacter kilaueensis JS1	4.725	60.50%	Unknown	4336	1183438	GCA_000484535.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/535/GCA_000484535.1_ASM48453v1										
Gloeobacter violaceus PCC 7421	4.659	62%	Unknown	4430	251221	GCA_000011385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/385/GCA_000011385.1_ASM1138v1										
Gloeocapsa sp. PCC 7428	5.883	43.39%	Unknown	4996	1173026	GCA_000317555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/555/GCA_000317555.1_ASM31755v1										
Gloeomargarita lithophora Alchichica-D10	3.049	52.20%	Unknown	2929	1188229	GCA_001870225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/870/225/GCA_001870225.1_ASM187022v1										
Halomicronema hongdechloris C2206	5.574	54.60%	Unknown	4682	1641165	GCA_002075285.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/075/285/GCA_002075285.2_ASM207528v2										
Halothece sp. PCC 7418	4.179	42.90%	nonbloomer	3710	65093	GCA_000317635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/635/GCA_000317635.1_ASM31763v1										
Hapalosiphon sp. MRB220	7.430	40.20%	Unknown	5932	1704290	GCA_001275395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/275/395/GCA_001275395.1_ASM127539v1										
Hassallia byssoidea VB512170	13.097	44.10%	Unknown	10181	1304833	GCA_000817785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/785/GCA_000817785.1_V1.0										
Hydrococcus rivularis NIES-593	5.148	45%	Unknown	4382	1921803	GCA_001904635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/635/GCA_001904635.1_ASM190463v1										
Hydrocoleum sp. CS-953	8.387	36.40%	Unknown	5354	1671698	GCA_002260545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/260/545/GCA_002260545.1_ASM226054v1										
Leptolyngbya sp. O-77	5.480	55.90%	Unknown	4291	1080068	GCA_001548395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/395/GCA_001548395.1_ASM154839v1										
Leptolyngbya sp. 'hensonii'	5.940	52.30%	Unknown	5048	1922337	GCA_001939115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/939/115/GCA_001939115.1_ASM193911v1										
Leptolyngbya boryana dg5	6.803	47.01%	Unknown	6144	1260963	GCA_002142495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/142/495/GCA_002142495.1_ASM214249v1										
Leptolyngbya sp. NIES-3755	6.762	46.66%	Unknown	6350	1752064	GCA_001548435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/435/GCA_001548435.1_ASM154843v1										
Leptolyngbya valderiana BDU 20041	6.991	59.80%	Unknown	5553	322866	GCA_001637395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/637/395/GCA_001637395.1_ASM163739v1										
Limnoraphis robusta CS-951	7.314	41.60%	Unknown	5716	1637645	GCA_000972705.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/972/705/GCA_000972705.2_ASM97270v2										
Limnothrix sp. P13C2	4.584	55.30%	Unknown	3672	1880902	GCA_001698445.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/445/GCA_001698445.1_ASM169844v1										
Limnothrix sp. CACIAM 69d	4.691	55.30%	Unknown	3689	1890733	GCA_001913845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/913/845/GCA_001913845.1_ASM191384v1										
Lyngbya confervoides BDU141951	8.800	55%	Unknown	6378	1574623	GCA_000817775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/775/GCA_000817775.1_ASM81777v1										
Lyngbya sp. PCC 8106	7.038	41.10%	bloomer	5572	313612	GCA_000169095.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/095/GCA_000169095.1_ASM16909v1										
Lyngbya aestuarii BL J	6.868	41.20%	Unknown	5220	1348334	GCA_000478195.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/195/GCA_000478195.2_ASM47819v2										
Mastigocladus laminosus 74	7.326	41.90%	Unknown	4386	1913078	GCA_001990805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/990/805/GCA_001990805.1_ASM199080v1										
Mastigocladus laminosus UU774	8.560	45.50%	Unknown	5550	1594576	GCA_000934435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/435/GCA_000934435.1_ASM93443v1										
Mastigocoleus testarum BC008	12.700	37.30%	Unknown	8892	371196	GCA_001456025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/456/025/GCA_001456025.1_ASM145602v1										
Melainabacteria sp. 35_41	2.033	34%	Unknown	2045	1897008	GCA_001917115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/917/115/GCA_001917115.1_ASM191711v1										
Microcoleus vaginatus FGP-2	6.699	46%	Unknown	5060	756067	GCA_000214075.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/075/GCA_000214075.2_ASM21407v1										
Microcoleus sp. PCC 7113	7.967	46.20%	Unknown	6350	1173027	GCA_000317515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/515/GCA_000317515.1_ASM31751v1										
Microcystis aeruginosa NIES-2481	4.293	42.90%	Unknown	3818	Unknown	GCA_001704955.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/955/GCA_001704955.1_ASM170495v1										
Microcystis aeruginosa NIES-2481	4.293	42.90%	Unknown	3832	1698524	GCA_001704955.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/955/GCA_001704955.1_ASM170495v1										
Microcystis aeruginosa NIES-2549	4.294	42.90%	Unknown	3834	Unknown	GCA_000981785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/785/GCA_000981785.1_ASM98178v1										
Microcystis aeruginosa NIES-2549	4.294	42.90%	Unknown	3843	1641812	GCA_000981785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/785/GCA_000981785.1_ASM98178v1										
Microcystis aeruginosa NIES-44	4.565	43.20%	Unknown	4053	Unknown	GCA_000787675.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/675/GCA_000787675.1_ASM78767v1										
Microcystis sp. T1-4	4.694	42.80%	bloomer	4198	1160279	GCA_000297435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/435/GCA_000297435.1_ASM29743v1										
Microcystis aeruginosa DIANCHI905	4.859	42.50%	bloomer	4303	Unknown	GCA_000332585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/585/GCA_000332585.1_MicAerD1.0										
Microcystis aeruginosa TAIHU98	4.850	42.50%	bloomer	4340	Unknown	GCA_000330925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/925/GCA_000330925.1_MicAerT1.0										
Microcystis aeruginosa NIES-98	4.984	42.40%	Unknown	4422	Unknown	GCA_001725075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/725/075/GCA_001725075.1_ASM172507v1										
Microcystis aeruginosa NIES-298	4.957	42.50%	Unknown	4537	Unknown	GCA_002897315.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/315/GCA_002897315.1_ASM289731v1										
Microcystis aeruginosa NIES-88	5.263	43%	Unknown	4620	Unknown	GCA_001578075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/075/GCA_001578075.1_ASM157807v1										
Microcystis aeruginosa NIES-298	4.924	41.80%	Unknown	4749	Unknown	GCA_002897275.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/275/GCA_002897275.1_ASM289727v1										
Microcystis aeruginosa SPC777	5.455	42.60%	Unknown	4935	Unknown	GCA_000412595.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/595/GCA_000412595.1_spc777-v1										
Microcystis aeruginosa KW	5.889	42.80%	Unknown	4962	Unknown	GCA_002025445.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/445/GCA_002025445.1_KWv02										
Microcystis aeruginosa NIES-843	5.843	42.30%	bloomer	5190	449447	GCA_000010625.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/625/GCA_000010625.1_ASM1062v1										
Microcystis panniformis FACHB-1757	5.687	42.40%	Unknown	5974	1638788	GCA_001264245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/264/245/GCA_001264245.1_ASM126424v1										
Microcystis aeruginosa PCC 9432	Unknown	Unknown%	bloomer	Unknown	1160280	GCA_000307995.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/995/GCA_000307995.2_ASM30799v2										
Microcystis aeruginosa NIES-843	Unknown	Unknown%	bloomer	Unknown	449447	GCA_000010625.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/625/GCA_000010625.1_ASM1062v1										
Moorea bouillonii PNG	8.319	43.70%	Unknown	6042	568701	GCA_001942495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/942/495/GCA_001942495.1_ASM194249v1										
Moorea producens PAL	8.371	43.70%	Unknown	6242	1905009	GCA_001942475.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/942/475/GCA_001942475.1_ASM194247v1										
Moorea producens 3L	8.479	43.70%	Unknown	6246	489825	GCA_000211815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/815/GCA_000211815.1_ASM21181v1										
Moorea producens JHB	9.385	43.70%	Unknown	6690	1454205	GCA_001854205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/854/205/GCA_001854205.1_ASM185420v1										
Moorea producens PAL-8-15-08-1	9.709	43.50%	Unknown	6792	1458985	GCA_001767235.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/767/235/GCA_001767235.1_ASM176723v1										
Neosynechococcus sphagnicola sy1	4.331	51.60%	Unknown	3263	1497020	GCA_000775285.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/285/GCA_000775285.1_ASM77528v1										
Nodularia spumigena CENA596	5.190	41.20%	Unknown	4254	1819295	GCA_001623485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/623/485/GCA_001623485.1_ASM162348v1										
Nodularia spumigena CCY9414	5.316	41.30%	bloomer	4420	313624	GCA_000169135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/135/GCA_000169135.1_ASM16913v1										
Nodularia spumigena CCY9414	5.462	41.20%	bloomer	4566	313624	GCA_000340565.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/565/GCA_000340565.3_ASM34056v3										
Nodularia sp. NIES-3585	5.774	41.30%	Unknown	4777	1973477	GCA_002218065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/065/GCA_002218065.1_ASM221806v1										
Nostoc piscinale CENA21	7.095	40.50%	Unknown	5232	224013	GCA_001298445.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/298/445/GCA_001298445.1_ASM129844v1										
Nostoc sp. NIES-3756	6.988	40.55%	Unknown	5710	1751286	GCA_001548375.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/375/GCA_001548375.1_ASM154837v1										
Nostoc sp. 106C	8.663	41.30%	Unknown	6698	1932667	GCA_002154725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/154/725/GCA_002154725.1_ASM215472v1										
Nostoc calcicola FACHB-389	9.049	41.50%	Unknown	6956	1357508	GCA_001904715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/715/GCA_001904715.1_ASM190471v1										
Nostoc sp. KVJ20	9.185	41.70%	Unknown	7250	457944	GCA_001712795.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/712/795/GCA_001712795.1_ASM171279v1										
Nostoc sp. PCC 7120	7.212	41.22%	bloomer	5842	103690	GCA_000009705.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/705/GCA_000009705.1_ASM970v1										
Nostoc punctiforme PCC 73102	9.059	41.34%	Unknown	6984	63737	GCA_000020025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/025/GCA_000020025.1_ASM2002v1										
'Nostoc azollae' 0708	5.486	38.33%	Unknown	3669	551115	GCA_000196515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/515/GCA_000196515.1_ASM19651v1										
Nostocales cyanobacterium HT-58-2	7.900	42.60%	Unknown	6171	1940762	GCA_002163975.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/975/GCA_002163975.1_ASM216397v1										
Oscillatoria nigro-viridis PCC 7112	8.272	45.81%	bloomer	6408	179408	GCA_000317475.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/475/GCA_000317475.1_ASM31747v1										
Oscillatoria acuminata PCC 6304	7.804	47.61%	Unknown	5879	56110	GCA_000317105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/105/GCA_000317105.1_ASM31710v1										
[Oscillatoria] sp. PCC 6506	6.677	43.40%	Unknown	5304	272129	GCA_000180455.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/455/GCA_000180455.1_ASM18045v1										
Oscillatoriales cyanobacterium CG2_30_44_21	3.495	44.30%	Unknown	3046	1805292	GCA_001873375.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/873/375/GCA_001873375.1_ASM187337v1										
Oscillatoriales cyanobacterium CG2_30_40_61	4.819	39.80%	Unknown	4018	1805291	GCA_001873365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/873/365/GCA_001873365.1_ASM187336v1										
Oscillatoriales cyanobacterium USR001	5.873	40.90%	Unknown	4908	1880991	GCA_001698425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/425/GCA_001698425.1_ASM169842v1										
Oscillatoriales cyanobacterium JSC-12	5.530	47.50%	Unknown	9518	864702	GCA_000309945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/945/GCA_000309945.1_ASM30994v1										
Phormidesmis priestleyi Ana	5.928	49.30%	Unknown	4863	1666911	GCA_001314865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/865/GCA_001314865.1_ASM131486v1										
